HOLDING_PERIOD,PCT_SL_THRESHOLD,PORTION_SIZE, ENTER_Z,EXIT_Z,RETURN
15,100,200,4,1,124489.80605316162
15,100,1000,4,1,179747.05805969238
15,80,1000,4,1,128291.46438217165
6,94,1422,5,1,173518.13497161865
11,85,239,9,1,119235.3471031189
20,85,353,8,1,128104.35945892334
4,33,998,8,2,231402.456943512
20,86,1250,7,1,128090.40306472778
1,52,271,6,1,122731.46463394164
18,36,822,8,1,132327.63404464722
10,35,584,9,1,129872.25561523438
18,89,763,3,1,137393.408203125
23,34,1455,4,2,211766.81237602237
9,30,773,5,1,131920.93823623657
28,87,1070,6,1,169799.73598480225
25,58,1165,8,2,241674.82235717773
14,50,1376,6,1,171389.21016693115
29,83,1426,7,2,214767.70085525516
9,44,1455,6,2,250437.0909500122
9,44,1455,6,2,199696.31914901733
